num_similar_relevant,num_similar_irrelevant,similarity_threshold_relevant,similarity_threshold_irrelevant,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score
3,1,0.6,0.6,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
3,1,0.6,0.7,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
3,1,0.6,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
3,2,0.6,0.6,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
3,2,0.6,0.7,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
3,2,0.6,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
3,3,0.6,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
3,4,0.6,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
3,5,0.6,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,1,0.6,0.6,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,1,0.6,0.7,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,1,0.6,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,1,0.7,0.6,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,1,0.7,0.7,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,1,0.7,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,2,0.6,0.6,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,2,0.6,0.7,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,2,0.6,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,2,0.7,0.6,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,2,0.7,0.7,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,2,0.7,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,3,0.6,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,3,0.7,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,4,0.6,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
